jammer,jsr_db,target_position,mode,trials,interface_pass,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,target_only_change_min_db,detected_after_mean,peak_error_after_mean,false_peak_after_mean,normalized_output_difference_mean,filter_coefficient_difference_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,0.0,4500,offset_-8,20,20,0,7.025164297395159,0.35666294367999063,0.15631442707623305,-24.770152693200416,-24.770152693200412,1.0,8.0,18.05,0.9744581883494551,1.3611162698384054,0.019387499196454883,400000000.0
AMNoiseGaiJam,0.0,4500,random,20,20,13,-131.53868603759628,145.7985296098789,90.36686488186074,-89.16008305654647,-112.52392943237498,0.2,2625.5,35.5,0.9989796644179698,1.4065982582252399,0.01933960593305528,400000000.0
AMNoiseGaiJam,0.0,4500,true,20,20,0,8.079581008356838,0.356662943679995,0.15631442707623497,-8.685846209726872e-05,-8.685846209726874e-05,1.0,0.0,12.45,0.0,0.0,0.020935453358106315,400000000.0
AMNoiseGaiJam,0.0,500,fixed_0,20,20,0,6.277126411165559,0.2621809483855748,0.11490586690711975,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,624.25,0.0,0.0,0.019391794921830297,400000000.0
AMNoiseGaiJam,0.0,500,missing,20,20,0,6.277126411165559,0.2621809483855748,0.11490586690711975,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,624.25,0.0,0.0,0.01941044465638697,400000000.0
AMNoiseGaiJam,0.0,500,offset_+1,20,20,0,6.279908407354411,0.2621809483855748,0.11490586690711975,-0.3035923747676373,-0.30359237476763723,1.0,1.0,624.45,0.1884980466417984,1.7761505289286288,0.019293694640509784,400000000.0
AMNoiseGaiJam,0.0,500,offset_+16,20,20,0,-4.564625647893761,0.26218094838556066,0.11490586690711357,-28.529718531976492,-28.529718531976492,0.0,16.0,624.5,0.9832810829473392,1.298350632869114,0.01941039809025824,400000000.0
AMNoiseGaiJam,0.0,500,offset_+2,20,20,0,6.276004969401148,0.2621809483855754,0.11490586690712,-1.1886192315169701,-1.1886192315169701,1.0,2.0,625.4,0.36422490885382136,1.6057022577815663,0.019320897990837693,400000000.0
AMNoiseGaiJam,0.0,500,offset_+32,20,20,0,-24.857311924216457,0.2621809483856088,0.11490586690713464,-60.90086154434166,-60.900861544341645,0.0,32.0,619.6,1.002055313061031,1.4209607876364,0.01927484991028905,400000000.0
AMNoiseGaiJam,0.0,500,offset_+4,20,20,0,6.1251071265901915,0.26218094838557293,0.11490586690711893,-4.868838735280629,-4.868838735280628,1.0,4.0,622.9,0.6678291195555914,1.7948367812882602,0.01929370337165892,400000000.0
