jammer,algorithm,jsr_db,target_position,trials,interface_pass,oracle_input_failures,target_erased_count,fallback_count,delta_sinr_mean_db,delta_sinr_std_db,target_only_change_mean_db,pd_after,estimation_error_mean,confidence_mean,runtime_mean_ms,memory_mean_bytes
FMNoiseAimedJam,Identity,30.0,3500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,30.0,500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,adapt_filter_fair,0.0,1500,10,10,0,0,0,10.204800130293354,0.5948706375214722,-8.685846209919741e-05,1.0,1.0,0.9268285291064078,0.802070798818022,402405.0
FMNoiseAimedJam,adapt_filter_fair,0.0,3500,10,10,0,0,0,10.044651573754612,0.6164064552974177,-8.685846209726874e-05,1.0,1.0,0.9268285291064096,0.8086871879640967,402391.2
FMNoiseAimedJam,adapt_filter_fair,0.0,500,10,10,0,0,0,7.26932412477399,0.5332151406641784,-8.685846209919741e-05,1.0,0.0,0.9423412688281324,0.7774208032060415,402406.0
FMNoiseAimedJam,adapt_filter_fair,10.0,1500,10,10,0,0,0,18.998163822527374,1.0955260016086241,-8.685846209919741e-05,1.0,1.1,0.7834913109162228,0.7680749928113073,402405.0
FMNoiseAimedJam,adapt_filter_fair,10.0,3500,10,10,0,0,0,18.97946513980673,1.0977751827045725,-8.685846209726874e-05,1.0,1.1,0.783491310916224,0.7928959035780281,402395.8
FMNoiseAimedJam,adapt_filter_fair,10.0,500,10,10,0,0,0,15.251325776203249,0.9849049669299498,-8.685846209919741e-05,1.0,0.0,0.8518147000825562,0.8088582020718604,402400.4
FMNoiseAimedJam,adapt_filter_fair,20.0,1500,10,10,0,0,0,-12.653541479123962,27.94752456461627,-8.685846209919741e-05,0.3,263.6,0.5646092995578771,0.7739291002508253,402382.0
FMNoiseAimedJam,adapt_filter_fair,20.0,3500,10,10,0,0,0,-12.655448764159527,27.947453647973497,-8.685846209726874e-05,0.3,263.6,0.5646092995578772,0.7798668055329472,402382.0
FMNoiseAimedJam,adapt_filter_fair,20.0,500,10,10,0,0,0,16.440599073031894,13.584108269009993,-8.685846209919741e-05,0.8,10.1,0.6267921060201816,0.7778500148560852,402382.0
FMNoiseAimedJam,adapt_filter_fair,30.0,1500,10,10,0,0,0,-24.441342583538717,10.033388913369842,-8.685846209919741e-05,0.0,350.1,0.5699090427295259,0.7725957024376839,402382.0
FMNoiseAimedJam,adapt_filter_fair,30.0,3500,10,10,0,0,0,-24.441543239506018,10.03340264525875,-8.685846209726874e-05,0.0,350.1,0.569909042729526,0.7715711079072207,402386.6
FMNoiseAimedJam,adapt_filter_fair,30.0,500,10,10,0,0,0,-9.299798873923478,13.76918763835964,-8.685846209919741e-05,0.1,105.8,0.6063198232191022,0.7609126914758235,402382.0
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,0.0,1500,10,10,0,0,0,10.204800130293354,0.5948706375214722,-8.685846209919741e-05,1.0,1.0,0.5513054453482285,2.4332625092938542,970429.2
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,0.0,3500,10,10,0,0,0,10.044651573754612,0.6164064552974177,-8.685846209726874e-05,1.0,1.0,0.5513054453482285,2.435870992485434,970415.4
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,0.0,500,10,10,0,0,0,7.26932412477399,0.5332151406641784,-8.685846209919741e-05,1.0,0.0,0.5537586290515518,2.4180206935852766,970435.6
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,10.0,1500,10,10,0,0,0,18.998163822527374,1.0955260016086241,-8.685846209919741e-05,1.0,1.1,0.5224752345599749,2.3473414999898523,970452.2
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,10.0,3500,10,10,0,0,0,18.97946513980673,1.0977751827045725,-8.685846209726874e-05,1.0,1.1,0.5224752345599749,2.4236292927525938,970438.4
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,10.0,500,10,10,0,0,0,15.251325776203249,0.9849049669299498,-8.685846209919741e-05,1.0,0.0,0.524603322600847,2.4532042094506323,970447.6
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,20.0,1500,10,10,0,0,0,-12.653541479123962,27.94752456461627,-8.685846209919741e-05,0.3,263.6,0.5037274166525222,2.463158289901912,970415.4
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,20.0,3500,10,10,0,0,0,-12.655448764159527,27.947453647973497,-8.685846209726874e-05,0.3,263.6,0.5037274166525221,2.471533394418657,970420.0
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,20.0,500,10,10,0,0,0,16.440599073031894,13.584108269009993,-8.685846209919741e-05,0.8,10.1,0.4957930316390266,2.427274698857218,970447.6
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,30.0,1500,10,10,0,0,0,-24.441342583538717,10.033388913369842,-8.685846209919741e-05,0.0,350.1,0.5037819973390685,2.4287791980896145,970406.2
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,30.0,3500,10,10,0,0,0,-24.441543239506018,10.03340264525875,-8.685846209726874e-05,0.0,350.1,0.5037819973390685,2.4207876005675644,970429.2
FMNoiseAimedJam,adapt_filter_fair_multihypothesis,30.0,500,10,10,0,0,0,-9.299798873923478,13.76918763835964,-8.685846209919741e-05,0.1,105.8,0.5003361388971781,2.386708394624293,970410.8
FMNoiseAimedJam,adapt_filter_oracle,0.0,1500,10,10,0,0,0,10.202045142876482,0.5948706375214722,-8.685846209919741e-05,1.0,0.0,1.0,33.13847500830889,400257360.0
FMNoiseAimedJam,adapt_filter_oracle,0.0,3500,10,10,0,0,0,10.041896586337739,0.616406455297417,-8.685846209919741e-05,1.0,0.0,1.0,33.152212598361075,400257360.0
FMNoiseAimedJam,adapt_filter_oracle,0.0,500,10,10,0,0,0,7.26932412477399,0.5332151406641771,-8.685846209919741e-05,1.0,0.0,1.0,32.818387396400794,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,10.0,1500,10,10,0,0,0,18.997119496385515,1.0963636087588575,-8.685846209919741e-05,1.0,0.0,1.0,33.036120887845755,400257360.0
FMNoiseAimedJam,adapt_filter_oracle,10.0,3500,10,10,0,0,0,18.978420813664876,1.0986141484403822,-8.685846209919741e-05,1.0,0.0,1.0,32.7663165924605,400257360.0
FMNoiseAimedJam,adapt_filter_oracle,10.0,500,10,10,0,0,0,15.251325776203245,0.98490496692995,-8.685846209919741e-05,1.0,0.0,1.0,32.753425202099606,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,20.0,1500,10,10,0,0,0,27.39384292979824,2.409467263948977,-8.685846209919741e-05,1.0,0.0,1.0,32.48794578248635,400257360.0
FMNoiseAimedJam,adapt_filter_oracle,20.0,3500,10,10,0,0,0,27.39194656782151,2.4096127670490293,-8.685846209919741e-05,1.0,0.0,1.0,32.79214580543339,400257360.0
FMNoiseAimedJam,adapt_filter_oracle,20.0,500,10,10,0,0,0,23.527581141405555,2.2308337106959515,-8.685846209919741e-05,1.0,0.0,1.0,32.5389415898826,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,30.0,1500,10,10,0,0,0,31.380927672347372,1.8794750849727633,-8.685846209919741e-05,1.0,0.0,1.0,32.72539969184436,400257360.0
FMNoiseAimedJam,adapt_filter_oracle,30.0,3500,10,10,0,0,0,31.38073793943885,1.8794967094255,-8.685846209919741e-05,1.0,0.0,1.0,32.52545430441387,400257360.0
FMNoiseAimedJam,adapt_filter_oracle,30.0,500,10,10,0,0,0,27.532700486091432,1.8084940796108138,-8.685846209919741e-05,1.0,0.0,1.0,32.6671083108522,400257328.0
NoJammer,Identity,0.0,1500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,0.0,3500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,0.0,500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,10.0,1500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,10.0,3500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,10.0,500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,20.0,1500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,20.0,3500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,20.0,500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,30.0,1500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,30.0,3500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,Identity,30.0,500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
NoJammer,adapt_filter_fair,0.0,1500,10,10,0,0,0,4.697744276738273,0.1160469805665378,-8.685846209919741e-05,1.0,0.0,0.9788328745999776,0.771254301071167,402414.0
NoJammer,adapt_filter_fair,0.0,3500,10,10,0,0,0,3.374197210890629,0.16963659330007202,-8.685846209726874e-05,1.0,0.0,0.979415626817088,0.7829875044990331,402414.0
NoJammer,adapt_filter_fair,0.0,500,10,10,0,0,0,4.146126134441568,0.12779009545056186,-8.685846209919741e-05,1.0,0.0,0.9806179622816064,0.7833624084014446,402423.2
NoJammer,adapt_filter_fair,10.0,1500,10,10,0,0,0,4.697744276738273,0.1160469805665378,-8.685846209919741e-05,1.0,0.0,0.9788328745999776,0.7734376122243702,402418.6
NoJammer,adapt_filter_fair,10.0,3500,10,10,0,0,0,3.374197210890629,0.16963659330007202,-8.685846209726874e-05,1.0,0.0,0.979415626817088,0.782166892895475,402418.6
NoJammer,adapt_filter_fair,10.0,500,10,10,0,0,0,4.146126134441568,0.12779009545056186,-8.685846209919741e-05,1.0,0.0,0.9806179622816064,0.7993000093847513,402414.0
NoJammer,adapt_filter_fair,20.0,1500,10,10,0,0,0,4.697744276738273,0.1160469805665378,-8.685846209919741e-05,1.0,0.0,0.9788328745999776,0.7770334021188319,402432.4
NoJammer,adapt_filter_fair,20.0,3500,10,10,0,0,0,3.374197210890629,0.16963659330007202,-8.685846209726874e-05,1.0,0.0,0.979415626817088,0.7833917858079076,402423.2
NoJammer,adapt_filter_fair,20.0,500,10,10,0,0,0,4.146126134441568,0.12779009545056186,-8.685846209919741e-05,1.0,0.0,0.9806179622816064,0.782816595165059,402432.4
NoJammer,adapt_filter_fair,30.0,1500,10,10,0,0,0,4.697744276738273,0.1160469805665378,-8.685846209919741e-05,1.0,0.0,0.9788328745999776,0.778724905103445,402414.0
NoJammer,adapt_filter_fair,30.0,3500,10,10,0,0,0,3.374197210890629,0.16963659330007202,-8.685846209726874e-05,1.0,0.0,0.979415626817088,0.7667207915801555,402414.0
NoJammer,adapt_filter_fair,30.0,500,10,10,0,0,0,4.146126134441568,0.12779009545056186,-8.685846209919741e-05,1.0,0.0,0.9806179622816064,0.782970804721117,402414.0
NoJammer,adapt_filter_fair_multihypothesis,0.0,1500,10,10,0,0,0,4.697744276738273,0.1160469805665378,-8.685846209919741e-05,1.0,0.0,0.5839382959495948,2.4764082860201597,970424.6
NoJammer,adapt_filter_fair_multihypothesis,0.0,3500,10,10,0,0,0,3.374197210890629,0.16963659330007202,-8.685846209726874e-05,1.0,0.0,0.5847436000064004,2.4514878925401717,970392.4
NoJammer,adapt_filter_fair_multihypothesis,0.0,500,10,10,0,0,0,4.146126134441568,0.12779009545056186,-8.685846209919741e-05,1.0,0.0,0.586040003179591,2.4310542037710547,970397.0
NoJammer,adapt_filter_fair_multihypothesis,10.0,1500,10,10,0,0,0,4.697744276738273,0.1160469805665378,-8.685846209919741e-05,1.0,0.0,0.5839382959495948,2.4408290977589786,970447.6
