jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,candidate_id,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,candidate_design,fit_function_name,dispatch_status,candidate_params_json,forbidden_keys_present,target_preservation_status,target_only_response_change_db,algorithm,role,interface_status,delta_sinr_db,detected_before,detected_after,pd_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,runtime_ms,memory_usage_bytes
NoiseProductJamming,0.0,9202,1500,1500,A_k3_c0.8_r0.001,1500,0,0.9432393310179037,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,A,fit_adapt_filter_fair,PASS,"{""confidence_threshold"": 0.8, ""regularization"": 0.001, ""top_k"": 3}",,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.969772876215387,True,True,True,0,0,0,451,-8.685885302306642e-06,0.5263339844532311,80000
NoiseProductJamming,0.0,9202,2500,2500,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,1,1,0,0,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9202,2500,2500,,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,,,NOT_APPLICABLE,,target_idx,TARGET_PRESERVED,-8.68584620963044e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.104516242232528,True,True,True,1,0,0,268,-8.854994863718973e-05,24.699500005226582,400257328
NoiseProductJamming,0.0,9202,2500,2500,A_k3_c0.8_r0.001,2499,1,0.9451972716910777,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,A,fit_adapt_filter_fair,PASS,"{""confidence_threshold"": 0.8, ""regularization"": 0.001, ""top_k"": 3}",,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.107271229649399,True,True,True,1,1,0,266,-8.685885306163955e-06,0.5324159865267575,80000
NoiseProductJamming,0.0,9202,3500,3500,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9202,3500,3500,,3500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,,,NOT_APPLICABLE,,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.139859073333277,True,True,True,0,0,0,93,-8.685846209534007e-05,24.16391600854695,400257328
NoiseProductJamming,0.0,9202,3500,3500,A_k3_c0.8_r0.001,3500,0,0.943193682624482,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,A,fit_adapt_filter_fair,PASS,"{""confidence_threshold"": 0.8, ""regularization"": 0.001, ""top_k"": 3}",,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.13985907333327,True,True,True,0,0,0,94,-8.68588530327097e-06,0.5172090022824705,80000
NoiseProductJamming,0.0,9202,4000,4000,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9202,4000,4000,,4000,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,,,NOT_APPLICABLE,,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.048717227074121,True,True,True,0,0,0,17,-8.68584620963044e-05,25.495417008642107,400257328
NoiseProductJamming,0.0,9202,4000,4000,A_k3_c0.8_r0.001,4000,0,0.9425672370348993,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,A,fit_adapt_filter_fair,PASS,"{""confidence_threshold"": 0.8, ""regularization"": 0.001, ""top_k"": 3}",,TARGET_PRESERVED,-8.685885306163955e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.048717227074121,True,True,True,0,0,0,16,-8.685885305199628e-06,0.5674579879269004,80000
