jammer,role,jsr_db,target_position,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,1500,50,50,0,0,0,17.54808637361381,6.0068705599440335,1.6650195714053337,0.9,-8.685885305199628e-06,0.1,0.4888888888888889,0.7589985377481758,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885306163955e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,1000,50,50,0,0,0,0.3050841750413272,2.157270890044261,0.5979649830810012,0.02,-8.68588530327097e-06,0.98,16.0,0.016320667634606427,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,1500,50,50,0,0,0,0.4518758301417375,3.1952446374752315,0.8856766270778057,0.02,-8.685885305199628e-06,0.98,1.0,0.016450095257278273,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,2500,50,50,0,0,0,-6.3455297718066905,44.869671318656366,12.437238352741113,1.0,-8.685885305199628e-06,0.98,1515.0,0.01604257863886511,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,3500,50,50,0,0,0,-6.310415540598349,44.62137620862065,12.368414459572763,1.0,-8.685885305199628e-06,0.98,2515.0,0.016043296200146683,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,4000,50,50,0,0,0,-6.359894421700545,44.97124473214952,12.46539306653307,1.0,-8.685885306163955e-06,0.98,3015.0,0.01604379960737954,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,1000,50,50,0,0,0,0.32882457000123827,2.3251408326862615,0.6444961572024269,0.0,-8.68588530327097e-06,0.98,16.0,0.016162853696972672,0.0
