jammer,jsr_db,seed,target_position,position_policy,fixture_label_physical,fixture_label_stress,physical_received_energy_error_db,stress_received_energy_error_db,physical_target_energy_error_db,stress_target_energy_error_db,physical_noise_energy_error_db,stress_noise_energy_error_db,physical_jammer_energy_error_db,stress_jammer_energy_error_db,physical_measured_jsr_db,stress_received_finite
NoiseProductJamming,10.0,6103,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.037513198041764506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6103,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.03202287911150213,-0.03687211220832198,0.0,0.0,0.0,-0.9653377529300979,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6103,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.015035530525007343,-0.07628557457839512,0.0,0.0,0.0,-2.295068778705083,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6103,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.012573186364381187,-0.09401225552772896,0.0,0.0,0.0,-3.052591789404139,-9.643274665532871e-16,-9.643274665532871e-16,9.999999999999998,True
NoiseProductJamming,10.0,6104,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.21556824116966605,-0.019451158097103374,0.0,0.0,0.0,-0.5019022267490246,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6104,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.20813519065642772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6104,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.20713420950213896,-0.034822847524207216,0.0,0.0,0.0,-0.9422780784138575,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6104,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.21545915743051086,-0.06945892868692691,0.0,0.0,0.0,-2.1289146572041338,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6104,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.2020418266755819,-0.08850667343011212,0.0,0.0,0.0,-2.9471932930027327,0.0,0.0,10.0,True
NoiseProductJamming,20.0,6100,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.036725655339003245,-0.0021773957639050667,0.0,0.0,0.0,-0.4536172142801617,0.0,0.0,20.0,True
