jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,candidate_id,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,forbidden_keys_present,target_preservation_status,target_only_response_change_db,algorithm,role,interface_status,delta_sinr_db,detected_before,detected_after,pd_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,runtime_ms,memory_usage_bytes
NoiseProductJamming,0.0,9103,3500,3500,,3500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.324707950518725,True,True,True,0,0,1,98,-8.685846209726874e-05,23.680416983552277,400257328
NoiseProductJamming,0.0,9103,3500,3500,B_k3_c0.8_r0.001,3500,0,0.921230934967735,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.324707950518725,True,True,True,0,0,1,101,-8.68588530327097e-06,0.49333396600559354,80000
NoiseProductJamming,0.0,9103,4000,4000,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,1,1,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9103,4000,4000,,4000,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.218603625823413,True,True,True,0,0,1,21,-8.685846210016177e-05,23.99150002747774,400257328
NoiseProductJamming,0.0,9103,4000,4000,B_k3_c0.8_r0.001,4000,0,0.9235156696830157,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885306163955e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.218603625823413,True,True,True,0,0,1,16,-8.685885307128283e-06,0.5070419865660369,80000
NoiseProductJamming,0.0,9104,1000,1000,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,1,1,1,1,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9104,1000,1000,,1000,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209437573e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,12.89313359909044,True,True,True,1,0,1,532,-0.05172243524984534,23.665791959501803,400257328
NoiseProductJamming,0.0,9104,1000,1000,B_k3_c0.8_r0.001,1001,1,0.9455257031823304,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.68588530327097e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.895888586507319,True,True,True,1,1,1,538,-8.685885305199628e-06,0.4905840032733977,80000
NoiseProductJamming,0.0,9104,1500,1500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,1,1,1,1,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9104,1500,1500,,1500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.128550653281646,True,True,True,1,0,1,445,-0.03887457669344428,24.012583016883582,400257328
