jammer,algorithm,jsr_db,seed,interface_ok,oracle_target_idx_passed,oracle_jammer_info_passed,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,peak_index_before,peak_index_after,peak_error_before,peak_error_after,range_error_before_m,range_error_after_m,target_peak_loss_db,false_peak_count_before,false_peak_count_after,true_false_peak_ratio_before,true_false_peak_ratio_after,max_false_peak_db_before,max_false_peak_db_after,runtime_ms,memory_usage_bytes,reference_peak_index
NoiseProductJamming,qpzh,30.0,46,True,False,False,9.248232711204725,1.5783476566956354,-7.6698850545090895,False,False,1252,1252,248,248,744.0,744.0,-20.583617881964695,1,2,0.0043262825857785445,18.544998972668687,-47.27770233115129,25.36453627212317,0.8288330282084644,482266,1500
NoiseProductJamming,Identity,30.0,47,True,False,False,11.529668541873189,11.529668541873189,0.0,False,False,1390,1390,110,110,330.0,330.0,-1.9286549331065743e-15,1,1,0.08042886362931526,0.08042886362931526,-21.891761347074166,-21.891761347074166,0.0029579969123005867,80096,1500
NoiseProductJamming,WLN,30.0,47,True,False,False,11.529668541873189,12.089354570075434,0.5596860282022451,False,False,1390,1218,110,282,330.0,846.0,0.6537731354899691,1,0,0.08042886362931526,0.0,-21.891761347074166,-inf,2.1534590050578117,838903,1500
NoiseProductJamming,FDC,30.0,47,True,False,False,11.529668541873189,11.426722812816228,-0.10294572905696064,False,False,1390,1390,110,110,330.0,330.0,-0.2561670151156057,1,1,0.08042886362931526,0.08101306778776098,-21.891761347074166,-21.82889843468207,0.265624956227839,967165,1500
NoiseProductJamming,adapt_filter,30.0,47,True,False,False,11.529668541873189,40.14942065087753,28.61975210900434,False,True,1390,1501,110,1,330.0,3.0,-2.3823131035680016,1,213,0.08042886362931526,9.947180595059001e-17,-21.891761347074166,-320.0459999439189,23.568083008285612,400241136,1500
NoiseProductJamming,FrFT,30.0,47,True,False,False,11.529668541873189,11.666966646914798,0.13729810504160866,False,False,1390,1391,110,109,330.0,327.0,-0.08460673421118561,1,1,0.08042886362931526,0.07786889607597615,-21.891761347074166,-22.17271964246084,36.05208301451057,1129958,1500
NoiseProductJamming,qpzh,30.0,47,True,False,False,11.529668541873189,-7.268778542299127,-18.798447084172317,False,False,1390,1391,110,109,330.0,327.0,-30.942583981340075,1,1,0.08042886362931526,51.51339888570602,-21.891761347074166,34.23840411685371,0.8188329520635307,482266,1500
NoiseProductJamming,Identity,30.0,48,True,False,False,12.449996803875775,12.449996803875775,0.0,False,False,1394,1394,106,106,318.0,318.0,-1.9286549331065743e-15,1,1,0.00489242749577063,0.00489242749577063,-46.209512034584925,-46.209512034584925,0.0028329668566584587,80096,1500
NoiseProductJamming,WLN,30.0,48,True,False,False,12.449996803875775,14.190287225238238,1.740290421362463,False,False,1394,1395,106,105,318.0,315.0,1.7363922451154767,1,1,0.00489242749577063,0.010624830772538391,-46.209512034584925,-39.4735595693423,2.077333047054708,838723,1500
NoiseProductJamming,FDC,30.0,48,True,False,False,12.449996803875775,12.532975436020868,0.08297863214509249,False,False,1394,1394,106,106,318.0,318.0,-0.5282104333723985,1,1,0.00489242749577063,0.004903483763283778,-46.209512034584925,-46.18990516848194,0.28545799432322383,967165,1500
NoiseProductJamming,adapt_filter,30.0,48,True,False,False,12.449996803875775,40.14942065087753,27.699423847001754,False,True,1394,1501,106,1,318.0,3.0,-0.6643751431504368,1,240,0.00489242749577063,1.0807080740307959e-16,-46.209512034584925,-319.3258320776306,23.48962501855567,400241136,1500
NoiseProductJamming,FrFT,30.0,48,True,False,False,12.449996803875775,12.623371840548183,0.1733750366724074,False,False,1394,1394,106,106,318.0,318.0,-0.006216368633791288,1,1,0.00489242749577063,0.004369298167965235,-46.209512034584925,-47.191766346442705,36.45262500504032,1129934,1500
NoiseProductJamming,qpzh,30.0,48,True,False,False,12.449996803875775,-0.2695716860194305,-12.719568489895206,False,False,1394,1394,106,106,318.0,318.0,-24.18189992529907,1,1,0.00489242749577063,22.94427654182252,-46.209512034584925,27.213487369314585,0.8101669955067337,482266,1500
NoiseProductJamming,Identity,30.0,49,True,False,False,9.616298562848936,9.616298562848936,0.0,False,False,1323,1323,177,177,531.0,531.0,-1.9286549331065743e-15,1,1,0.005949173072249619,0.005949173072249619,-44.510867929520074,-44.510867929520074,0.0027909991331398487,80096,1500
NoiseProductJamming,WLN,30.0,49,True,False,False,9.616298562848936,11.518006327288566,1.9017077644396299,False,False,1323,1323,177,177,531.0,531.0,1.9567218283947927,1,1,0.005949173072249619,0.013084534296578307,-44.510867929520074,-37.66483460228633,2.0864579710178077,838859,1500
NoiseProductJamming,FDC,30.0,49,True,False,False,9.616298562848936,9.540546074150065,-0.07575248869887119,False,False,1323,1323,177,177,531.0,531.0,-0.5911568164639701,1,1,0.005949173072249619,0.006071088558598406,-44.510867929520074,-44.3346686410747,0.2603330067358911,967165,1500
NoiseProductJamming,adapt_filter,30.0,49,True,False,False,9.616298562848936,40.14942065087753,30.533122088028595,False,True,1323,1501,177,1,531.0,3.0,-0.1241982508324778,1,197,0.005949173072249619,1.0072236496069044e-16,-44.510867929520074,-319.93748171095865,23.425208986736834,400241136,1500
NoiseProductJamming,FrFT,30.0,49,True,False,False,9.616298562848936,9.597596868636169,-0.01870169421276735,False,False,1323,1323,177,177,531.0,531.0,-0.21215618888776105,1,1,0.005949173072249619,0.006565089461788898,-44.510867929520074,-43.65518702897202,36.299958010204136,1129934,1500
NoiseProductJamming,qpzh,30.0,49,True,False,False,9.616298562848936,-4.31421251994489,-13.930511082793826,False,False,1323,1323,177,177,531.0,531.0,-25.915384452745958,1,1,0.005949173072249619,36.572759906155426,-44.510867929520074,31.2631546985777,0.8185420301742852,482266,1500
NoiseProductJamming,Identity,30.0,50,True,False,False,7.12498476526198,7.12498476526198,0.0,False,False,1461,1461,39,39,117.0,117.0,-2.892982399659862e-15,1,1,0.0062246617321965285,0.0062246617321965285,-44.11768489053078,-44.11768489053078,0.0029170187190175056,80096,1500
NoiseProductJamming,WLN,30.0,50,True,False,False,7.12498476526198,8.167428191222504,1.0424434259605233,False,False,1461,1219,39,281,117.0,843.0,0.9564111136943282,1,1,0.0062246617321965285,0.014977229034682658,-44.11768489053078,-36.49137057687395,2.1088329958729446,838871,1500
NoiseProductJamming,FDC,30.0,50,True,False,False,7.12498476526198,7.128221539165659,0.0032367739036782694,False,False,1461,1461,39,39,117.0,117.0,-0.0272786533362944,1,1,0.0062246617321965285,0.006222894678584224,-44.11768489053078,-44.120150986245896,0.2649999805726111,967165,1500
NoiseProductJamming,adapt_filter,30.0,50,True,False,False,7.12498476526198,40.14942065087752,33.024435885615546,False,True,1461,1501,39,1,117.0,3.0,-2.9436586502042306,1,181,0.0062246617321965285,8.240730439007491e-17,-44.11768489053078,-321.6806858350605,23.480041010770947,400241136,1500
NoiseProductJamming,FrFT,30.0,50,True,False,False,7.12498476526198,7.371483876660631,0.24649911139865033,False,False,1461,1461,39,39,117.0,117.0,-0.08273796596779043,1,1,0.0062246617321965285,0.006284238423408226,-44.11768489053078,-44.03494692456279,36.32929199375212,1129958,1500
NoiseProductJamming,qpzh,30.0,50,True,False,False,7.12498476526198,13.39703758184541,6.27205281658343,False,False,1461,1460,39,40,117.0,120.0,-9.606298424746956,1,1,0.0062246617321965285,0.01881181402860741,-44.11768489053078,-34.51138646578348,0.710166001226753,482266,1500
NoiseProductJamming,Identity,30.0,51,True,False,False,12.408930703817347,12.408930703817347,0.0,False,False,1421,1421,79,79,237.0,237.0,-1.9286549331065743e-15,2,2,0.037904981074912,0.037904981074912,-28.42607431715255,-28.42607431715255,0.002792046871036291,80096,1500
NoiseProductJamming,WLN,30.0,51,True,False,False,12.408930703817347,12.358867449457664,-0.050063254359683285,False,False,1421,1420,79,80,237.0,240.0,0.6962035661589667,2,1,0.037904981074912,0.011113330852846784,-28.42607431715255,-39.083115123236915,2.095207979436964,838857,1500
NoiseProductJamming,FDC,30.0,51,True,False,False,12.408930703817347,12.34234851606347,-0.06658218775387681,False,False,1421,1421,79,79,237.0,237.0,-0.6740827529898195,2,1,0.037904981074912,0.03651558666343806,-28.42607431715255,-28.75043435086981,0.26170798810198903,967165,1500
NoiseProductJamming,adapt_filter,30.0,51,True,False,False,12.408930703817347,40.14942065087753,27.740489947060183,False,True,1421,1501,79,1,237.0,3.0,-0.0989335015212478,2,163,0.037904981074912,9.35780390444835e-17,-28.42607431715255,-320.57652119635895,23.56779103865847,400241136,1500
NoiseProductJamming,FrFT,30.0,51,True,False,False,12.408930703817347,12.50909810148633,0.10016739766898297,False,False,1421,1421,79,79,237.0,237.0,-0.06450471034360622,2,2,0.037904981074912,0.03701788272788888,-28.42607431715255,-28.631768494963445,36.01758397417143,1129980,1500
NoiseProductJamming,qpzh,30.0,51,True,False,False,12.408930703817347,-1.7432818437579443,-14.152212547575292,False,False,1421,1421,79,79,237.0,237.0,-25.528025241282762,2,2,0.037904981074912,27.290956101478354,-28.42607431715255,28.720375017042198,0.8217089925892651,482266,1500
NoiseProductJamming,Identity,30.0,52,True,False,False,11.321438472825573,11.321438472825573,0.0,False,False,1422,1422,78,78,234.0,234.0,-1.9286549331065743e-15,1,1,0.005447666693291283,0.005447666693291283,-45.275789437810474,-45.275789437810474,0.002792046871036291,80096,1500
NoiseProductJamming,WLN,30.0,52,True,False,False,11.321438472825573,11.900497575915567,0.5790591030899943,False,False,1422,1421,78,79,234.0,237.0,0.9829684942962977,1,1,0.005447666693291283,0.013430592117384796,-45.275789437810474,-37.43809680151149,2.104833023622632,838959,1500
NoiseProductJamming,FDC,30.0,52,True,False,False,11.321438472825573,11.34149537756964,0.020056904744066628,False,False,1422,1422,78,78,234.0,234.0,-0.023370377588642455,1,1,0.005447666693291283,0.005436983113627523,-45.275789437810474,-45.29284031686398,0.26066601276397705,967165,1500
NoiseProductJamming,adapt_filter,30.0,52,True,False,False,11.321438472825573,40.14942065087753,28.827982178051958,False,True,1422,1501,78,1,234.0,3.0,-1.0254238863105456,1,229,0.005447666693291283,1.144088330567804e-16,-45.275789437810474,-318.83080888153694,23.647665977478027,400241136,1500
NoiseProductJamming,FrFT,30.0,52,True,False,False,11.321438472825573,11.393954794076729,0.0725163212511557,False,False,1422,1422,78,78,234.0,234.0,-0.08921868618929718,1,1,0.005447666693291283,0.005650560002628329,-45.275789437810474,-44.95817017989659,36.20870900340378,1129934,1500
