candidate_id,jammer,jsr_db,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_identity,pd_algorithm,position_spread_db,fallback_ratio,estimation_error_mean,target_only_change_db,confidence_mean,runtime_mean_ms
A_k3_c0.65_r0.001,NoJammer,20.0,100,100,0,0,0,4.6591480497757685,0.15027551314107948,0.02945400057565158,1.0,1.0,0.09456945724967447,0.0,0.0,-8.685885305006762e-06,0.9786008919228439,0.4603616544045508
A_k3_c0.65_r0.001,NoJammer,30.0,100,100,0,0,0,4.6591480497757685,0.15027551314107948,0.02945400057565158,1.0,1.0,0.09456945724967447,0.0,0.0,-8.685885305006762e-06,0.9786008919228439,0.46345006150659174
A_k3_c0.65_r0.001,NoiseConvolutionJamming,0.0,100,100,0,0,0,13.319561270384947,0.6464400004536717,0.12670224008891964,1.0,1.0,0.04246003187595626,0.0,0.14,-8.685885305006762e-06,0.9205594620623969,0.4587862064363435
A_k3_c0.65_r0.001,NoiseConvolutionJamming,10.0,100,100,0,0,0,22.49774994341537,1.8618643357767506,0.3649254098122431,0.45,1.0,0.04827203523687018,0.0,1.12,-8.685885305006762e-06,0.7887384478700248,0.4558737366460264
A_k3_c0.65_r0.001,NoiseConvolutionJamming,20.0,100,100,0,0,0,-0.9025248542396105,19.64566536406855,3.8505504113574354,0.0,0.3,1.8317141861902986,0.32,154.66176470588235,-8.685885305006762e-06,0.476853351462692,0.40682548249606043
A_k3_c0.65_r0.001,NoiseConvolutionJamming,30.0,100,100,0,0,0,-3.8168380647820443,15.491250857926378,3.03628516815357,0.0,0.15,1.766679088318937,0.43,185.52631578947367,-8.685885305006762e-06,0.39208614165657724,0.4092879354720935
A_k3_c0.65_r0.001,NoiseProductJamming,0.0,100,100,0,0,0,12.122700841385635,0.7577879814208967,0.14852644435849574,1.0,1.0,0.048588015831558806,0.0,0.19,-8.685885305006762e-06,0.9384657749517281,0.46048292133491486
A_k3_c0.65_r0.001,NoiseProductJamming,10.0,100,100,0,0,0,18.531793846679207,10.484761219779248,2.0550131990767326,0.51,0.95,0.044008821789329744,0.0,14.94,-8.685885305006762e-06,0.8281924823933332,0.46355918049812317
A_k3_c0.65_r0.001,NoiseProductJamming,20.0,100,100,0,0,0,-12.672683058092227,13.576842909074577,2.661061210178617,0.0,0.03,4.11285457575269,0.16,207.22619047619048,-8.685885305006762e-06,0.5887663201935481,0.43490039999596775
A_k3_c0.65_r0.001,NoiseProductJamming,30.0,100,100,0,0,0,-14.920884028580149,9.075032384926425,1.778706347445579,0.0,0.0,1.1159491135429143,0.11,226.57303370786516,-8.685885305006762e-06,0.6274000488957184,0.4411091696238145
A_k3_c0.65_r0.001,SMSP,0.0,100,100,0,0,0,13.360529941794788,0.11643816830688836,0.022821880988150117,1.0,1.0,0.21991398308951204,0.0,0.0,-8.685885305006762e-06,0.8994888218048663,0.4566808161325753
A_k3_c0.65_r0.001,SMSP,10.0,100,100,0,0,0,23.170619270555584,0.5259408103116006,0.1030843988210737,0.8,1.0,1.3796740986856157,0.0,0.23,-8.685885305006762e-06,0.745880645383088,0.45570003683678806
A_k3_c0.65_r0.001,SMSP,20.0,100,100,0,0,0,-195.63815554034161,147.77255370321916,28.96342052583095,0.6,0.6,322.4984817461604,0.0,1519.0,-8.685885305006762e-06,0.7744799303097335,0.45549579022917897
A_k3_c0.65_r0.001,SMSP,30.0,100,100,0,0,0,-188.99200616184774,143.53554975649678,28.132967752273366,0.6,0.6,312.32927941105544,0.0,1519.0,-8.685885305006762e-06,0.775504621678348,0.4544308880576864
A_k3_c0.8_r0.001,AMNoiseGaiJam,0.0,100,100,0,0,0,8.79645928660228,0.41282474297076693,0.08091364962227032,1.0,1.0,0.652949341957969,0.0,0.0,-8.685885305006762e-06,0.9467935714053215,0.47198458982165903
