jammer,jsr_db,selection_metric,metric_scope,n,mean,std,ci95_low,ci95_high,min,q25,median,q75,max
FMNoiseSaopin,20.0,topk,FORMAL_TARGET_JAMMERS,150,1.6904,0.48868386454136914,1.612194293907695,1.7686057060923048,0.07999999999999996,1.6600000000000001,1.92,1.92,1.92
FMNoiseSaopin,30.0,entropy,FORMAL_TARGET_JAMMERS,150,1.7906666666666669,0.5527850980745085,1.7022026267238026,1.879130706609531,0.0,2.0,2.0,2.0,2.0
FMNoiseSaopin,30.0,peak,FORMAL_TARGET_JAMMERS,150,1.6086666666666667,0.5681875891510869,1.5177377147886504,1.699595618544683,0.05999999999999994,1.56,1.9,1.9,1.9
FMNoiseSaopin,30.0,topk,FORMAL_TARGET_JAMMERS,150,1.6535999999999997,0.5372178891312952,1.5676272323409728,1.7395727676590267,0.07999999999999996,1.56,1.92,1.92,1.92
FMZuse,0.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.5998666666666665,0.5952225760073405,1.504611215819273,1.69512211751406,0.07999999999999996,1.0,2.0,2.0,2.0
FMZuse,0.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.5109333333333337,0.5919123219430467,1.4162076334665379,1.6056590332001295,0.039999999999999925,1.09,1.9,1.9,1.9
FMZuse,0.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.5221333333333333,0.5878325409475627,1.4280605344043518,1.616206132262315,0.05999999999999994,0.98,1.92,1.92,1.92
FMZuse,10.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.5998666666666665,0.5952225760073405,1.504611215819273,1.69512211751406,0.07999999999999996,1.0,2.0,2.0,2.0
FMZuse,10.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.5109333333333337,0.5919123219430467,1.4162076334665379,1.6056590332001295,0.039999999999999925,1.09,1.9,1.9,1.9
FMZuse,10.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.5221333333333333,0.5878325409475627,1.4280605344043518,1.616206132262315,0.05999999999999994,0.98,1.92,1.92,1.92
FMZuse,20.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.5998666666666665,0.5952225760073405,1.504611215819273,1.69512211751406,0.07999999999999996,1.0,2.0,2.0,2.0
FMZuse,20.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.5109333333333337,0.5919123219430467,1.4162076334665379,1.6056590332001295,0.039999999999999925,1.09,1.9,1.9,1.9
FMZuse,20.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.5221333333333333,0.5878325409475627,1.4280605344043518,1.616206132262315,0.05999999999999994,0.98,1.92,1.92,1.92
FMZuse,30.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.5998666666666665,0.5952225760073405,1.504611215819273,1.69512211751406,0.07999999999999996,1.0,2.0,2.0,2.0
FMZuse,30.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.5109333333333337,0.5919123219430467,1.4162076334665379,1.6056590332001295,0.039999999999999925,1.09,1.9,1.9,1.9
FMZuse,30.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.5221333333333333,0.5878325409475627,1.4280605344043518,1.616206132262315,0.05999999999999994,0.98,1.92,1.92,1.92
NoJammer,0.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NoJammer,0.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.9000000000000004,4.455769500637426e-16,1.9000000000000004,1.9000000000000004,1.9,1.9,1.9,1.9,1.9
NoJammer,0.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.9199999999999997,2.227884750318713e-16,1.9199999999999997,1.9199999999999997,1.92,1.92,1.92,1.92,1.92
NoJammer,10.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NoJammer,10.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.9000000000000004,4.455769500637426e-16,1.9000000000000004,1.9000000000000004,1.9,1.9,1.9,1.9,1.9
NoJammer,10.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.9199999999999997,2.227884750318713e-16,1.9199999999999997,1.9199999999999997,1.92,1.92,1.92,1.92,1.92
NoJammer,20.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NoJammer,20.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.9000000000000004,4.455769500637426e-16,1.9000000000000004,1.9000000000000004,1.9,1.9,1.9,1.9,1.9
NoJammer,20.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.9199999999999997,2.227884750318713e-16,1.9199999999999997,1.9199999999999997,1.92,1.92,1.92,1.92,1.92
NoJammer,30.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NoJammer,30.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.9000000000000004,4.455769500637426e-16,1.9000000000000004,1.9000000000000004,1.9,1.9,1.9,1.9,1.9
NoJammer,30.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.9199999999999997,2.227884750318713e-16,1.9199999999999997,1.9199999999999997,1.92,1.92,1.92,1.92,1.92
NoiseConvolutionJamming,0.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.1333333333333333,0.9943914308125237,0.9741975614743313,1.2924691051923354,0.0,0.0,2.0,2.0,2.0
NoiseConvolutionJamming,0.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,0.9759999999999999,0.9019055144786396,0.8316650572972324,1.1203349427027673,0.039999999999999925,0.07999999999999996,0.96,1.88,1.9
NoiseConvolutionJamming,0.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.3653333333333335,0.8472130914777961,1.229751001201603,1.500915665465064,0.05999999999999994,0.07999999999999996,1.92,1.92,1.92
NoiseConvolutionJamming,10.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.2,0.9830783046228486,1.0426747053962788,1.357325294603721,0.0,0.0,2.0,2.0,2.0
NoiseConvolutionJamming,10.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.0959999999999999,0.8970705493269739,0.9524388128702194,1.2395611871297805,0.039999999999999925,0.07999999999999996,1.8399999999999999,1.88,1.9
NoiseConvolutionJamming,10.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.4266666666666667,0.8178435112835132,1.2957844462500714,1.5575488870832621,0.05999999999999994,0.07999999999999996,1.92,1.92,1.92
NoiseConvolutionJamming,20.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.2666666666666666,0.9670176019626494,1.111911619789578,1.4214217135437552,0.0,0.0,2.0,2.0,2.0
NoiseConvolutionJamming,20.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.0360000000000003,0.9015035911366158,0.891729378428006,1.1802706215719945,0.039999999999999925,0.07999999999999996,1.83,1.88,1.9
NoiseConvolutionJamming,20.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.304,0.8712622949360206,1.164568993758325,1.443431006241675,0.05999999999999994,0.07999999999999996,1.92,1.92,1.92
NoiseConvolutionJamming,30.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.1333333333333333,0.9943914308125237,0.9741975614743313,1.2924691051923354,0.0,0.0,2.0,2.0,2.0
NoiseConvolutionJamming,30.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.1560000000000001,0.88854605618377,1.013803015893311,1.2981969841066894,0.039999999999999925,0.07999999999999996,1.8499999999999999,1.88,1.9
NoiseConvolutionJamming,30.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.5493333333333335,0.7405010698519628,1.4308284813586731,1.6678381853079938,0.05999999999999994,1.9,1.92,1.92,1.92
NoiseProductJamming,0.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.0666666666666667,1.0011179433340132,0.9064544286104934,1.22687890472284,0.0,0.0,2.0,2.0,2.0
NoiseProductJamming,0.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.0606666666666664,0.8870656450415467,0.9187065976846318,1.202626735648701,0.0,0.05999999999999994,1.76,1.8599999999999999,1.9
NoiseProductJamming,0.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.11,0.9173312620287734,0.9631964235511766,1.2568035764488235,0.039999999999999925,0.05999999999999994,1.88,1.92,1.92
NoiseProductJamming,10.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.2666666666666666,0.9670176019626493,1.111911619789578,1.4214217135437552,0.0,0.0,2.0,2.0,2.0
NoiseProductJamming,10.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.0006666666666664,0.8891513687778659,0.8583728123699367,1.142960520963396,0.0,0.05999999999999994,1.74,1.8399999999999999,1.9
NoiseProductJamming,10.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.0486666666666666,0.922655684588921,0.9010110051459513,1.196322328187382,0.039999999999999925,0.05999999999999994,1.88,1.92,1.92
NoiseProductJamming,20.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.4,0.9195855500673209,1.2528356623299,1.5471643376700999,0.0,0.0,2.0,2.0,2.0
NoiseProductJamming,20.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.0606666666666664,0.8870656450415467,0.9187065976846318,1.202626735648701,0.0,0.05999999999999994,1.76,1.8599999999999999,1.9
NoiseProductJamming,20.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,0.9259999999999998,0.9209587942308499,0.7786158974936971,1.0733841025063027,0.039999999999999925,0.05999999999999994,0.07999999999999996,1.92,1.92
NoiseProductJamming,30.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.0,1.0033500931359767,0.8394305435782681,1.160569456421732,0.0,0.0,1.0,2.0,2.0
NoiseProductJamming,30.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.0606666666666664,0.8870656450415467,0.9187065976846318,1.202626735648701,0.0,0.05999999999999994,1.76,1.8599999999999999,1.9
NoiseProductJamming,30.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.1099999999999999,0.9173312620287732,0.9631964235511765,1.2568035764488232,0.039999999999999925,0.05999999999999994,1.88,1.92,1.92
SMSP,0.0,entropy,FORMAL_TARGET_JAMMERS,150,1.96,0.28093802607807344,1.915040552201915,2.0049594477980848,0.0,2.0,2.0,2.0,2.0
SMSP,0.0,peak,FORMAL_TARGET_JAMMERS,150,1.5120000000000002,0.7586919156144949,1.3905840064049588,1.6334159935950416,0.0,1.8599999999999999,1.9,1.9,1.9
SMSP,0.0,topk,FORMAL_TARGET_JAMMERS,150,1.364,0.852165027972475,1.2276251929817619,1.5003748070182383,0.05999999999999994,0.07999999999999996,1.92,1.92,1.92
SMSP,10.0,entropy,FORMAL_TARGET_JAMMERS,150,1.9333333333333333,0.36021370738606584,1.875687134278465,1.9909795323882018,0.0,2.0,2.0,2.0,2.0
SMSP,10.0,peak,FORMAL_TARGET_JAMMERS,150,1.5120000000000002,0.7586919156144949,1.3905840064049588,1.6334159935950416,0.0,1.8599999999999999,1.9,1.9,1.9
SMSP,10.0,topk,FORMAL_TARGET_JAMMERS,150,1.4008,0.8353751879832121,1.2671121269830907,1.5344878730169094,0.05999999999999994,0.07999999999999996,1.92,1.92,1.92
SMSP,20.0,entropy,FORMAL_TARGET_JAMMERS,150,1.8133333333333332,0.5837470568647094,1.7199143480262282,1.9067523186404383,0.0,2.0,2.0,2.0,2.0
SMSP,20.0,peak,FORMAL_TARGET_JAMMERS,150,1.5120000000000002,0.7586919156144949,1.3905840064049588,1.6334159935950416,0.0,1.8599999999999999,1.9,1.9,1.9
SMSP,20.0,topk,FORMAL_TARGET_JAMMERS,150,1.3885333333333336,0.8411891444459925,1.253915033504014,1.5231516331626533,0.05999999999999994,0.07999999999999996,1.92,1.92,1.92
SMSP,30.0,entropy,FORMAL_TARGET_JAMMERS,150,1.72,0.6962989406606193,1.6085689619468133,1.8314310380531866,0.0,2.0,2.0,2.0,2.0
SMSP,30.0,peak,FORMAL_TARGET_JAMMERS,150,1.5120000000000002,0.7586919156144949,1.3905840064049588,1.6334159935950416,0.0,1.8599999999999999,1.9,1.9,1.9
SMSP,30.0,topk,FORMAL_TARGET_JAMMERS,150,1.2781333333333336,0.8841341167862059,1.1366424065795853,1.4196242600870819,0.05999999999999994,0.07999999999999996,1.92,1.92,1.92
