jammer,jsr_db,selection_metric,target_position,metric_scope,n,mean,std,ci95_low,ci95_high,min,q25,median,q75,max
FMNoiseAimedJam,10.0,topk,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.0439999999999998,0.9363229622599097,0.70894113107399,1.3790588689260095,0.019999999999999907,0.05999999999999994,1.88,1.92,1.92
FMNoiseAimedJam,10.0,topk,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.1086666666666667,0.9300305272458509,0.775859516691896,1.4414738166414374,0.05999999999999994,0.05999999999999994,1.9,1.915,1.92
FMNoiseAimedJam,10.0,topk,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,10.0,topk,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,10.0,topk,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,20.0,entropy,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.3333333333333333,0.9589266029707683,0.990185855459925,1.6764808112067415,0.0,0.0,2.0,2.0,2.0
FMNoiseAimedJam,20.0,entropy,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.4666666666666666,0.8995528902176073,1.1447657990344475,1.7885675342988856,0.0,0.5,2.0,2.0,2.0
FMNoiseAimedJam,20.0,entropy,2500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,20.0,entropy,3500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,20.0,entropy,4000,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,20.0,peak,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.1466666666666663,0.9029657393482777,0.8235445266576835,1.469788806675649,0.020000000000000018,0.06499999999999995,1.8499999999999999,1.88,1.9
FMNoiseAimedJam,20.0,peak,1500,SUPPLEMENTARY_DIAGNOSTIC,30,0.948,0.9103330197771318,0.6222415125478287,1.2737584874521712,0.020000000000000018,0.05999999999999994,0.95,1.8399999999999999,1.9
FMNoiseAimedJam,20.0,peak,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,20.0,peak,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,20.0,peak,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,20.0,topk,1000,SUPPLEMENTARY_DIAGNOSTIC,30,0.8599999999999999,0.9265136729735275,0.5284513401639503,1.1915486598360494,0.019999999999999907,0.05999999999999994,0.07999999999999996,1.895,1.92
FMNoiseAimedJam,20.0,topk,1500,SUPPLEMENTARY_DIAGNOSTIC,30,0.9246666666666666,0.933435380299784,0.5906411056744447,1.2586922276588886,0.05999999999999994,0.05999999999999994,0.07999999999999996,1.9,1.92
FMNoiseAimedJam,20.0,topk,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,20.0,topk,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
