Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanCleanTargetLoss_dB,CleanTargetLoss_std_dB,CleanTargetLoss_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
FMNoiseSaopin,adapt_filter,0.0,20,1.0,1.0,1.0,7.926712247873285,2.737676854878862,1.1998397833956445,0.0,1.0,0.45,446.15,-0.15048657905097182,-0.2721782280777148,0.059972922571721154,0.0262842922092212,0.0,23.616718748235144,Recommended
FMNoiseSaopin,FrFT,0.0,20,1.0,1.0,1.0,-0.3126518071717969,0.05547661332467463,0.024313697796866842,0.0,0.0,0.45,0.4,-0.3367086549729528,-0.3237254214014709,0.06350160925982401,0.02783080733717693,0.0,36.65351469826419,Conditional
FMNoiseSaopin,qpzh,0.0,20,1.0,1.0,1.0,0.0672632645439318,0.11615774327552914,0.050908375575102235,0.0,0.0,0.45,0.45,0.0012392096952022725,0.014222443266683916,0.05970066185758631,0.0261649686901972,0.0,0.619558192556724,Neutral
FMNoiseSaopin,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-8.678947198979587e-15,0.014158074871887688,0.06057903637876601,0.026549933297453282,0.0,0.0027583097107708454,Baseline
FMNoiseSaopin,WLN,10.0,20,1.0,1.0,1.0,4.639528705445284,2.6326203345693893,1.1537967333008972,0.0,0.0,0.5,0.5,4.516345961983073,4.5305040368549685,0.9425736820143917,0.4131011300501443,0.0,2.136672945925966,Recommended
FMNoiseSaopin,FDC,10.0,20,1.0,1.0,1.0,0.0018108666144716068,0.0038972151287207024,0.0017080298383489762,0.0,0.0,0.5,0.5,-0.02625428124131073,-0.012096206369414171,0.053466047490782195,0.023432528468813725,0.0,0.2677293057786301,Neutral
FMNoiseSaopin,adapt_filter,10.0,20,1.0,1.0,1.0,15.206966667478927,5.723011018920931,2.508220168160357,0.0,1.0,0.5,446.45,-0.150071846390878,-0.2705886541172058,0.06153689742400411,0.026969734409842957,0.0,23.522077256347984,Recommended
FMNoiseSaopin,FrFT,10.0,20,1.0,1.0,1.0,-0.3172310250288296,0.051474828123117815,0.02255983810342823,0.0,0.0,0.5,0.45,-0.3349220676112438,-0.3207639927393474,0.06626311606484692,0.029041091056703387,0.0,36.21951874811202,Conditional
FMNoiseSaopin,qpzh,10.0,20,1.0,1.0,1.0,0.05861111728534674,0.11192947005227073,0.04905525312959124,0.0,0.0,0.5,0.45,0.006310258706639942,0.020468333578536366,0.06371756627092298,0.027925454670355784,0.0,0.624439399689436,Conditional
FMNoiseSaopin,Identity,20.0,20,1.0,1.0,1.0,0.0,0.0,0.0,37.4,37.4,0.4,0.4,-8.678947198979587e-15,0.017880133853690285,0.07406589776186269,0.0324608109131746,0.0,0.002752145519480109,Baseline
FMNoiseSaopin,WLN,20.0,20,1.0,1.0,1.0,8.255386805035949,3.555849580344747,1.558419790365331,37.4,0.0,0.4,0.55,6.3841606401882585,6.402040774041959,1.602644832916153,0.7023900668771048,0.0,2.1235457505099475,Recommended
FMNoiseSaopin,FDC,20.0,20,1.0,1.0,1.0,0.002881258028612965,0.005203004556538391,0.0022803172876295534,37.4,37.4,0.4,0.4,-0.03997035949585476,-0.02209022564215592,0.07646186342502964,0.03351088916371554,0.0,0.2664273459231481,Neutral
FMNoiseSaopin,adapt_filter,20.0,20,1.0,1.0,1.0,24.202018151618045,7.41174394411094,3.2483400050074747,37.4,1.0,0.4,446.75,-0.14875724897791237,-0.2655519977224383,0.07373498767110732,0.03231578317153015,0.0,23.503081349190325,Recommended
FMNoiseSaopin,FrFT,20.0,20,1.0,1.0,1.0,-0.30700628051628315,0.08518384739261853,0.037333467177553196,37.4,37.55,0.4,0.35,-0.33928947650200186,-0.3214093426483028,0.1106357985501832,0.04848827659542373,0.0,36.19876879674848,Conditional
FMNoiseSaopin,qpzh,20.0,20,1.0,1.0,0.95,0.07862756335919655,0.14175304511056835,0.0621260111974257,37.4,37.35,0.4,0.4,-0.12172227026845917,-0.10384213641476012,0.5971289633244281,0.2617033068521704,0.098,0.6476124952314422,Harmful/Not demonstrated
FMNoiseSaopin,Identity,30.0,20,1.0,1.0,1.0,0.0,0.0,0.0,932.15,932.15,0.35,0.35,-8.582514452324259e-15,0.029715589311311724,0.14531231854839963,0.06368593155949571,0.0,0.002754107117652893,Baseline
FMNoiseSaopin,WLN,30.0,20,1.0,1.0,1.0,10.161393589382806,4.57687536043653,2.0059040683740665,932.15,60.3,0.35,0.5,7.526471275110181,7.576202092393638,1.0704742605103328,0.4691560300743248,0.0,2.131097752135247,Recommended
FMNoiseSaopin,FDC,30.0,20,1.0,1.0,1.0,0.0030681934027374427,0.005526104359428733,0.002421922019694353,932.15,932.2,0.35,0.35,-0.041622862220671644,-0.011907272909350963,0.1546400050507288,0.06777397041353071,0.0,0.2644749969476834,Neutral
FMNoiseSaopin,adapt_filter,30.0,20,1.0,1.0,1.0,33.99198761309532,7.798024483214797,3.4176349155964867,932.15,1.0,0.35,448.3,-0.16458522264067524,-0.24952928795544121,0.14544731388431464,0.063745095874055,0.0,23.510260495822877,Recommended
FMNoiseSaopin,FrFT,30.0,20,1.0,1.0,0.95,0.5730865600182904,0.7151374302131092,0.3134227978133607,932.15,845.4,0.35,0.3,-0.3528802531914522,-0.30314943590799387,0.9983702277366482,0.4375550444024939,0.09799999999999999,36.23034990741871,Harmful/Not demonstrated
FMNoiseSaopin,qpzh,30.0,20,1.0,1.0,0.85,13.158737910669677,9.87878064547697,4.329566511386768,932.15,587.9,0.35,1.0,-0.6788062868870934,-0.629075469603635,1.6660144558721233,0.7301630286661687,0.16055889229418857,0.8013354061404243,Harmful/Not demonstrated
AMNoiseGaiJam,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,-7.762836105753968e-15,0.35721851775346647,0.11897418837087247,0.052142737061966614,0.0,0.0027646514354273677,Baseline
AMNoiseGaiJam,WLN,0.0,20,1.0,1.0,1.0,-0.42417249585126593,0.115991218170813,0.050835392730097545,0.0,0.0,0.4,0.55,2.307789623058394,2.6650081408118673,0.14584439150721026,0.06391912281525416,0.0,2.133174901246093,Harmful/Not demonstrated
AMNoiseGaiJam,FDC,0.0,20,1.0,1.0,1.0,0.2197878608574692,0.030393828561975596,0.013320682685166214,0.0,0.0,0.4,0.6,-1.0076606258207963,-0.6504421080673221,0.1720018759265173,0.07538314581851875,0.0,0.2651500515639782,Recommended
AMNoiseGaiJam,adapt_filter,0.0,20,1.0,1.0,1.0,8.31705047211691,0.3470675817330563,0.1521090742861493,0.0,1.0,0.4,450.2,-0.1138028284730164,0.1087408066822334,0.12722975413553905,0.05576089828549946,0.0,23.556962609291077,Recommended
AMNoiseGaiJam,FrFT,0.0,20,1.0,1.0,1.0,-0.24160869882831584,0.02431741232974448,0.010657575853215235,0.0,0.0,0.4,0.45,-0.31940091064075865,0.037817607112715576,0.12000403925238677,0.05259408911120641,0.0,36.223583249375224,Harmful/Not demonstrated
AMNoiseGaiJam,qpzh,0.0,20,1.0,1.0,1.0,1.4529002893348955,0.3363259829740344,0.14740136106375804,0.0,0.0,0.4,0.3,0.11477149117981145,0.4719900089332856,0.1003252191170226,0.04396946592143189,0.0,0.6643250468187034,Recommended
AMNoiseGaiJam,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,-6.8467250125283395e-15,1.138398975100646,0.32511734327263747,0.14248895812346324,0.0,0.002777151530608535,Baseline
AMNoiseGaiJam,WLN,10.0,20,1.0,1.0,1.0,1.558531419380945,0.15335991076032995,0.06721294435474624,0.1,0.1,0.3,0.45,3.545037234753098,4.68424118263318,0.2567941536412369,0.11254500001820085,0.0,2.1270271972753108,Recommended
AMNoiseGaiJam,FDC,10.0,20,1.0,1.0,1.0,0.44418808216582945,0.08736338457286563,0.038288691463279255,0.1,0.0,0.3,0.5,-2.2311347687740315,-1.0909395340746346,0.31007363808313687,0.13589576362577407,0.0,0.26262695027980953,Conditional
AMNoiseGaiJam,adapt_filter,10.0,20,1.0,1.0,1.0,16.47480224509055,0.5076867585712328,0.2225035322745929,0.1,1.0,0.3,447.5,-0.058482728707594654,0.9470376233935769,0.350106060257921,0.15344074621398437,0.0,23.526329203741625,Recommended
AMNoiseGaiJam,FrFT,10.0,20,1.0,1.0,1.0,0.05280390786405729,0.02315733232248935,0.010149148373125296,0.1,0.15,0.3,0.4,-0.2953863376176716,0.841009728438585,0.33250984283646084,0.14572886390693918,0.0,36.261314601870254,Neutral
AMNoiseGaiJam,qpzh,10.0,20,1.0,1.0,1.0,2.7965276443081675,0.3072386998556234,0.1346532971663824,0.1,0.9,0.3,0.3,0.3606027601371146,1.4474760305055647,0.23710330647079014,0.10391510574789589,0.0,0.6887165480293334,Recommended
AMNoiseGaiJam,Identity,20.0,20,1.0,0.05,0.05,0.0,0.0,0.0,0.7,0.7,0.3,0.3,-5.400233812698409e-15,3.2679560853486813,0.8270145872786728,0.36245512376565286,0.09799999999999998,0.002735495218075812,Baseline
AMNoiseGaiJam,WLN,20.0,20,1.0,0.05,0.55,2.3583533832376604,0.4052643312571386,0.17761492433520312,0.7,0.65,0.3,0.4,4.101311906469937,7.380123977767513,0.46027858324686577,0.20172598334254838,0.22370045761428853,2.1280187589582056,Recommended
AMNoiseGaiJam,FDC,20.0,20,1.0,0.05,0.45,0.055277597106684076,0.1722966834222605,0.07551235090026738,0.7,0.55,0.3,0.55,-2.6531797687661074,0.6204006873390511,0.8296036434818181,0.36358982767654174,0.22370045761428858,0.26357080205343664,Conditional
AMNoiseGaiJam,adapt_filter,20.0,20,1.0,0.05,1.0,24.222209836394846,0.9435109883710274,0.41351192267306364,0.7,1.0,0.3,448.7,-0.003132527848649427,3.166867038240526,0.8698529338591154,0.38122985694517564,0.0,23.493939600302838,Recommended
AMNoiseGaiJam,FrFT,20.0,20,1.0,0.05,0.05,0.11755232159669848,0.02894308930821902,0.012684868173716918,0.7,0.7,0.3,0.35,-0.23653545648411223,3.0186091047977195,0.8434690298159483,0.36966660116651445,0.09799999999999998,36.22727705806028,Neutral
AMNoiseGaiJam,qpzh,20.0,20,1.0,0.05,0.2,3.673103553325034,0.5843042331626525,0.25608262103894525,0.7,1.0,0.3,0.3,1.116908149249097,4.224340042317285,0.5925153038108034,0.25968128141785973,0.1798619353545204,0.6855521525721997,Recommended
AMNoiseGaiJam,Identity,30.0,20,1.0,0.0,0.0,0.0,0.0,0.0,314.65,314.65,0.3,0.3,-3.0858478929705195e-15,7.904928673754547,1.5602442909280054,0.6838072100201118,0.0,0.0028019538149237633,Baseline
AMNoiseGaiJam,WLN,30.0,20,1.0,0.0,0.0,1.7661335703340673,0.541129830182831,0.2371606046485786,314.65,79.2,0.3,0.4,3.4765372355750737,11.486889157425306,0.8964942977709305,0.39290594948632074,0.0,2.1251125494018197,Recommended
AMNoiseGaiJam,FDC,30.0,20,1.0,0.0,0.0,-0.5365184474521338,0.3088590053172997,0.13536342734508042,314.65,400.75,0.3,0.55,-3.2474722064756696,4.607327266369424,1.7419788815380297,0.7634559061196652,0.0,0.2626750007038936,Harmful/Not demonstrated
AMNoiseGaiJam,adapt_filter,30.0,20,1.0,0.0,1.0,29.446755875066266,1.4083241931753137,0.6172252915383192,314.65,1.0,0.3,447.75,-0.1039898264429268,7.84313157874981,1.62859885381025,0.7137649180588005,0.0,23.504726993269287,Recommended
AMNoiseGaiJam,FrFT,30.0,20,1.0,0.0,0.0,-0.2012316712378181,0.3657323777982386,0.16028928183258126,314.65,314.65,0.3,0.4,-0.9383332728054719,6.956404926308283,1.7202354761930687,0.7539264385665868,0.0,36.2503043434117,Harmful/Not demonstrated
AMNoiseGaiJam,qpzh,30.0,20,1.0,0.0,0.0,-7.8747305918197466,7.024193284568008,3.0784884395927516,314.65,319.15,0.3,0.4,-13.893834400588009,-6.079605458273981,8.39722386947348,3.680245625307598,0.0,0.7924708945211023,Harmful/Not demonstrated
SMSP,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-9.643274665532876e-15,-0.4328182822273968,0.061050092963369634,0.02675638294816011,0.0,0.002723047509789467,Baseline
SMSP,WLN,0.0,20,1.0,1.0,1.0,-0.17139430233802475,0.029329213322187356,0.01285409448414066,0.0,0.5,0.5,0.5,2.0102469629184023,1.5701809519011305,0.07706377166287909,0.033774687079981054,0.0,2.1375479554990306,Neutral
SMSP,FDC,0.0,20,1.0,1.0,1.0,3.552713678800501e-16,2.551505127924286e-15,1.118246426551688e-15,0.0,0.0,0.5,0.5,-8.437865332341267e-15,-0.43281828222739566,0.06105009296336945,0.02675638294816003,0.0,0.26426250697113574,Neutral
SMSP,adapt_filter,0.0,20,1.0,1.0,1.0,13.712267718343053,0.05404842235093024,0.023687765504846605,0.0,1.0,0.5,449.7,-0.2845018282771775,-0.8519949931027894,0.06580465948600582,0.028840163601999334,0.0,23.500679194694385,Recommended
SMSP,FrFT,0.0,20,1.0,1.0,1.0,-0.222538852273634,0.011472718333108641,0.0050281405035896435,0.0,0.2,0.5,0.45,-0.35539363743547564,-0.7900434788282793,0.06126535495551193,0.02685072567585094,0.0,36.23009374423418,Conditional
SMSP,qpzh,0.0,20,1.0,1.0,1.0,2.6527324110224986,0.06170366518908224,0.027042823605440358,0.0,0.35,0.5,0.5,-0.042570044356303,-0.4782039117653646,0.0666479042583847,0.02920973191801059,0.0,0.6846894539194182,Recommended
