Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanReferenceResponseVsClean_dB,MeanTargetOnlyResponseChange_dB,TargetOnlyResponseChange_std_dB,TargetOnlyResponseChange_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
FMNoiseSaopin,qpzh,10.0,20,1.0,1.0,1.0,0.05861111728534674,0.11192947005227073,0.04905525312959124,0.0,0.0,0.5,0.45,0.006310258706639942,0.020468333578536366,-8.678947198979587e-15,0.0,0.0,0.0,1.690056297229603,Conditional
FMNoiseSaopin,Identity,20.0,20,1.0,1.0,1.0,0.0,0.0,0.0,37.4,37.4,0.4,0.4,-8.678947198979587e-15,0.017880133853690285,-8.678947198979587e-15,0.0,0.0,0.0,0.39346250996459275,Baseline
FMNoiseSaopin,WLN,20.0,20,1.0,1.0,1.0,8.255386805035949,3.555849580344747,1.558419790365331,37.4,0.0,0.4,0.55,6.3841606401882585,6.402040774041959,1.7542552869168084,0.0,0.0,0.0,4.71265820087865,Recommended
FMNoiseSaopin,FDC,20.0,20,1.0,1.0,1.0,0.002881258028612965,0.005203004556538391,0.0022803172876295534,37.4,37.4,0.4,0.4,-0.03997035949585476,-0.02209022564215592,-8.678947198979587e-15,0.0,0.0,0.0,0.9173145488603041,Neutral
FMNoiseSaopin,adapt_filter,20.0,20,1.0,1.0,1.0,24.202018151618045,7.41174394411094,3.2483400050074747,37.4,1.0,0.4,446.75,-0.14875724897791237,-0.2655519977224383,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,56.50810835650191,Blocked oracle-risk
FMNoiseSaopin,FrFT,20.0,20,1.0,1.0,1.0,-0.30700628051628315,0.08518384739261853,0.037333467177553196,37.4,37.55,0.4,0.35,-0.33928947650200186,-0.3214093426483028,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,75.95456449780613,Conditional
FMNoiseSaopin,qpzh,20.0,20,1.0,1.0,0.95,0.07862756335919655,0.14175304511056835,0.0621260111974257,37.4,37.35,0.4,0.4,-0.12172227026845917,-0.10384213641476012,-8.678947198979587e-15,0.0,0.0,0.098,1.6309666010783985,Harmful/Not demonstrated
FMNoiseSaopin,Identity,30.0,20,1.0,1.0,1.0,0.0,0.0,0.0,932.15,932.15,0.35,0.35,-8.582514452324259e-15,0.029715589311311724,-8.678947198979587e-15,0.0,0.0,0.0,0.3775249933823943,Baseline
FMNoiseSaopin,WLN,30.0,20,1.0,1.0,1.0,10.161393589382806,4.57687536043653,2.0059040683740665,932.15,60.3,0.35,0.5,7.526471275110181,7.576202092393638,1.7542552869168084,0.0,0.0,0.0,4.525712548638694,Recommended
FMNoiseSaopin,FDC,30.0,20,1.0,1.0,1.0,0.0030681934027374427,0.005526104359428733,0.002421922019694353,932.15,932.2,0.35,0.35,-0.041622862220671644,-0.011907272909350963,-8.678947198979587e-15,0.0,0.0,0.0,0.8848167402902618,Neutral
FMNoiseSaopin,adapt_filter,30.0,20,1.0,1.0,1.0,33.99198761309532,7.798024483214797,3.4176349155964867,932.15,1.0,0.35,448.3,-0.16458522264067524,-0.24952928795544121,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,47.66921048576478,Blocked oracle-risk
FMNoiseSaopin,FrFT,30.0,20,1.0,1.0,0.95,0.5730865600182904,0.7151374302131092,0.3134227978133607,932.15,845.4,0.35,0.3,-0.3528802531914522,-0.30314943590799387,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.09799999999999999,73.1686334562255,Harmful/Not demonstrated
FMNoiseSaopin,qpzh,30.0,20,1.0,1.0,0.85,13.158737910669677,9.87878064547697,4.329566511386768,932.15,587.9,0.35,1.0,-0.6788062868870934,-0.629075469603635,-8.678947198979587e-15,0.0,0.0,0.16055889229418857,1.7207998462254182,Harmful/Not demonstrated
AMNoiseGaiJam,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,-7.762836105753968e-15,0.35721851775346647,-8.678947198979587e-15,0.0,0.0,0.0,0.3773645032197237,Baseline
