jammer,jsr_db,seed,target_position,algorithm,role,candidate_id,true_target_idx_for_evaluation_only,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,forbidden_keys_present,interface_status,runtime_ms,memory_usage_bytes,exception_type,exception_message,delta_sinr_db,detected_before,detected_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,target_only_response_change_db,target_preservation_status
NoiseProductJamming,0.0,8003,4500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,4500,4499,1,0.9071659178320319,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.7899169945158064,563906,,,11.867268747417164,True,True,1,1,4,10,-8.68588530327097e-06,-8.685885304235298e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,500,Identity,IDENTITY_BASELINE,,500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,87,87,-8.678947198979587e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,500,500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,55.9978749952279,400257296,,,11.73925238343871,True,True,1,0,87,622,-0.1967283180465863,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,500,500,0,0.9310722681227515,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.750125015154481,563906,,,11.73925238343871,True,True,1,0,87,624,-0.196650145469795,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,1250,Identity,IDENTITY_BASELINE,,1250,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,0,0,-8.678947198979587e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,1250,adapt_filter_oracle,ORACLE_UPPER_BOUND,,1250,1250,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,56.78204196738079,400257328,,,11.940431137657868,True,True,1,0,0,490,-0.19682582759364498,-8.685846209726874e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,1250,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,1250,1249,1,0.9131251301738426,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.651207963936031,563906,,,11.943186125074732,True,True,1,1,0,493,-8.685885305199628e-06,-8.685885308092612e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,2500,Identity,IDENTITY_BASELINE,,2500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,1,1,-8.678947198979587e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,2500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,2500,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,57.36899998737499,400257328,,,11.894445724941555,True,True,1,0,1,271,-0.19682582759364498,-8.68584620963044e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,2500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,2500,2499,1,0.9131251301738428,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.6182500296272337,563906,,,11.897200712358433,True,True,1,1,1,278,-8.685885302306642e-06,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,3750,Identity,IDENTITY_BASELINE,,3750,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,3,3,-8.678947198979587e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8004,3750,adapt_filter_oracle,ORACLE_UPPER_BOUND,,3750,3750,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,57.53712501609698,400257328,,,11.812330787455696,True,True,1,0,3,54,-0.19682582759364498,-8.685846209919741e-05,TARGET_PRESERVED
